url_length,domain_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_slashes,num_at_symbols,num_ampersands,num_equals_signs,num_question_marks,num_special_chars,num_digits,digit_ratio,has_https,has_ip_address,num_subdomains,domain_entropy,has_suspicious_keyword,num_suspicious_keywords,has_suspicious_tld,has_phishing_extension,path_depth,has_port,url_entropy,token_count,longest_token_length,has_double_slash_redirect,has_hex_encoding,label
95,14,73,0,2,11,0,4,0,0,0,0,0,0,0.0,1,0,1,2.6995138503199656,0,0,0,0,2,0,4.251869021768512,17,8,0,0,0
41,32,1,0,3,0,0,3,0,0,0,0,0,0,0.0,1,0,2,3.9445488277869583,0,0,0,0,0,0,4.369031882350259,5,12,0,0,0
96,23,65,0,3,0,0,4,0,0,0,0,0,8,0.08333333333333333,1,0,2,3.795088586397732,0,0,0,0,2,0,4.787374739988984,7,59,0,0,1
48,39,1,0,4,2,0,3,0,0,0,0,0,0,0.0,1,0,3,3.8552884365335984,0,0,0,0,0,0,4.240601562950722,8,14,0,0,0
34,25,1,0,2,1,0,3,0,0,0,0,0,6,0.17647058823529413,1,0,1,4.103465189601647,0,0,0,0,0,0,4.289832974227876,5,10,0,0,1
95,15,27,44,3,0,0,4,0,3,4,1,0,5,0.05263157894736842,1,0,1,3.323231428797621,0,0,0,0,2,0,4.676941860999685,15,12,0,0,0
63,43,12,0,3,1,0,3,0,0,0,0,0,24,0.38095238095238093,1,0,1,4.120707417785409,0,0,0,0,1,0,4.701031860104551,7,32,0,0,1
136,23,105,0,4,6,0,5,0,0,0,0,0,19,0.13970588235294118,1,0,2,3.795088586397732,0,0,0,0,3,0,5.0790887437492165,15,59,0,0,1
29,22,0,0,2,0,0,2,0,0,0,0,0,0,0.0,0,0,1,3.913977073182752,0,0,0,0,0,0,4.21126073643228,4,10,0,0,1
55,16,31,0,2,0,0,7,0,0,0,0,0,2,0.03636363636363636,1,0,1,3.327819531114783,0,0,0,0,4,0,4.600710677714705,9,13,0,1,0
38,15,15,0,3,0,0,3,0,0,0,0,0,0,0.0,1,0,1,3.323231428797621,0,0,0,0,1,0,4.168465671110589,6,9,0,0,0
31,22,1,0,2,0,0,3,0,0,0,0,0,0,0.0,1,0,1,3.4428621651554665,0,0,0,0,0,0,3.793739263579227,4,11,0,0,1
24,15,1,0,2,0,0,3,0,0,0,0,0,0,0.0,1,0,1,2.872905595320056,0,0,1,0,0,0,3.2720552088742005,4,6,0,0,1
39,30,1,0,2,0,0,3,0,0,0,0,0,0,0.0,1,0,1,3.7898980954642876,0,0,0,0,0,0,4.028490680178816,4,22,0,0,0
30,21,1,0,2,0,0,3,0,0,0,0,0,0,0.0,1,0,1,3.4992275417233567,0,0,0,0,0,0,3.872905595320056,4,13,0,0,0
83,18,57,0,2,6,0,4,0,0,0,0,0,0,0.0,1,0,1,3.4193819456463714,0,0,0,0,2,0,4.229797112692572,12,10,0,0,0
84,16,60,0,3,6,2,3,0,0,0,0,0,9,0.10714285714285714,1,0,1,3.452819531114783,0,0,0,0,1,0,4.915661470191763,13,11,0,0,0
81,11,62,0,2,1,0,5,0,0,0,0,0,10,0.12345679012345678,1,0,0,3.095795255000934,0,0,0,0,3,0,5.171907299994158,8,46,0,0,1
44,18,18,0,3,0,0,4,0,0,0,0,0,5,0.11363636363636363,1,0,1,3.5724312513221195,0,0,0,0,2,0,4.271598379853424,7,10,0,0,0
35,18,9,0,2,0,0,4,0,0,0,0,0,0,0.0,1,0,1,3.6835423624332306,0,0,0,0,2,0,4.193429088311724,6,10,0,0,0
41,32,1,0,2,1,0,3,0,0,0,0,0,6,0.14634146341463414,1,0,1,4.1371987351738495,0,0,0,0,0,0,4.33622754166864,5,10,0,0,1
95,34,53,0,4,5,0,5,0,0,0,0,0,6,0.06315789473684211,1,0,2,3.858802914461594,0,0,0,0,3,0,4.6018759473544355,14,17,0,0,0
83,74,1,0,2,3,0,3,0,0,0,0,0,36,0.43373493975903615,1,0,1,4.615028542394059,0,0,0,0,0,0,4.73663657689654,7,21,0,0,1
251,15,38,0,3,5,0,5,1,1,1,0,1,111,0.44223107569721115,1,0,0,3.506890595608519,0,0,0,0,3,0,5.0531868584086475,21,45,0,1,1
103,19,76,0,2,6,0,6,0,0,0,0,0,9,0.08737864077669903,1,0,1,3.2608281712244556,0,0,0,0,4,0,4.64239767784996,14,13,0,0,0
175,15,108,43,2,4,1,7,0,2,3,1,2,16,0.09142857142857143,1,0,1,2.9735572622751856,1,1,0,0,5,0,5.597177789544403,22,31,0,0,1
38,29,1,0,3,0,0,3,0,0,0,0,0,1,0.02631578947368421,1,0,2,3.8967981337162887,0,0,0,0,0,0,4.083747751403388,5,12,0,0,0
29,22,0,0,2,0,0,2,0,0,0,0,0,0,0.0,0,0,1,3.8796640049025943,0,0,0,0,0,0,4.280226253673659,4,10,0,0,1
47,18,21,0,2,0,1,4,0,0,0,0,0,0,0.0,1,0,1,3.5724312513221195,0,0,0,0,1,0,4.150883139953444,6,10,0,0,0
89,26,55,0,4,0,4,6,0,0,0,0,0,7,0.07865168539325842,1,0,2,3.580462199727102,0,0,0,0,4,0,4.44919838675552,14,10,0,0,0
84,76,0,0,3,1,0,2,0,0,0,0,0,7,0.08333333333333333,1,0,2,4.542362922091195,0,0,0,0,0,0,4.676494251713781,6,59,0,0,1
173,15,108,41,2,2,1,7,0,2,3,1,2,19,0.10982658959537572,1,0,1,2.9735572622751856,1,1,0,0,5,0,5.538469417160467,20,69,0,0,1
59,24,27,0,4,1,0,3,0,0,0,0,0,0,0.0,1,0,2,3.3716535224393334,0,0,0,0,1,0,4.300299889424702,8,12,0,0,0
103,19,76,0,2,1,0,5,0,0,0,0,0,8,0.07766990291262135,1,0,0,3.826874881864638,0,0,0,0,3,0,4.707078233066992,8,59,0,0,1
36,27,1,0,2,0,0,3,0,0,0,0,0,0,0.0,1,0,1,3.559900001923083,0,0,0,0,0,0,4.030493056757482,4,19,0,0,0
93,76,9,0,4,1,0,3,0,0,0,0,0,12,0.12903225806451613,1,0,2,4.774068717807469,0,0,0,0,1,0,4.916922021423964,8,59,0,0,1
26,17,1,0,2,1,0,3,0,0,0,0,0,1,0.038461538461538464,1,0,1,3.7345216647797512,0,0,0,0,0,0,4.103909910282364,5,5,0,0,1
39,31,0,0,2,2,0,2,0,0,0,0,0,12,0.3076923076923077,1,0,1,4.106949132758152,0,0,0,0,0,0,4.355539077670187,6,10,0,0,1
71,62,1,0,2,0,0,3,0,0,0,0,0,1,0.014084507042253521,1,0,1,3.9559654166460567,0,0,0,0,0,0,4.106767191748895,4,52,0,0,1
51,10,33,0,4,0,1,4,0,0,0,0,0,0,0.0,1,0,0,2.9219280948873623,0,0,0,0,2,0,3.8882347839383393,9,9,0,0,1
73,14,51,0,2,4,0,8,0,0,0,0,0,4,0.0547945205479452,1,0,1,3.1820058147602133,0,0,0,0,5,0,4.246121608031651,13,7,0,0,0
110,19,83,0,3,6,0,8,0,0,0,0,0,0,0.0,1,0,1,3.391892644680932,0,0,0,0,6,0,4.3589636306886375,17,11,0,0,0
88,80,0,0,3,0,0,2,0,0,0,0,0,16,0.18181818181818182,1,0,2,4.660754932517599,0,0,1,0,0,0,4.766321181595354,5,59,0,0,1
41,32,1,0,3,0,0,3,0,0,0,0,0,0,0.0,1,0,2,3.8042292966721747,0,0,0,0,0,0,3.9971998702079046,5,12,0,0,0
34,25,1,0,2,1,0,3,0,0,0,0,0,6,0.17647058823529413,1,0,1,3.9132696895151087,0,0,0,0,0,0,4.1499833418113035,5,10,0,0,1
61,15,1,0,2,4,0,3,0,0,0,0,0,24,0.39344262295081966,1,0,1,3.139572261986723,0,0,0,0,0,0,4.684194714328333,9,12,0,0,1
92,20,64,0,3,8,0,4,0,0,0,0,0,3,0.03260869565217391,1,0,1,3.5464393446710156,0,0,0,0,2,0,4.387480370241563,15,12,0,0,0
50,41,1,0,3,2,0,3,0,0,0,0,0,11,0.22,1,0,2,4.247557492317426,0,0,0,0,0,0,4.503465189601647,7,13,0,0,1
103,19,76,0,2,1,0,5,0,0,0,0,0,12,0.11650485436893204,1,0,0,3.826874881864638,0,0,0,0,3,0,4.841962304664947,8,59,0,0,1
28,19,1,0,2,0,0,3,0,0,0,0,0,7,0.25,1,0,1,3.787143960698139,0,0,0,0,0,0,4.137537511266052,4,11,0,0,1
87,22,57,0,3,5,0,6,0,0,0,0,0,6,0.06896551724137931,1,0,2,3.447401504705915,0,0,0,0,4,0,4.588917921755075,14,10,0,0,0
37,14,15,0,2,0,0,3,0,0,0,0,0,0,0.0,1,0,1,2.9852281360342516,0,0,0,0,1,0,4.208924987016683,6,8,0,0,0
27,18,1,0,2,0,0,3,0,0,0,0,0,0,0.0,1,0,1,3.4193819456463714,0,0,0,0,0,0,3.930270372293453,4,10,0,0,0
36,16,12,0,2,0,0,4,0,0,0,0,0,0,0.0,1,0,1,2.952819531114783,0,0,0,0,2,0,4.093400348604438,6,8,0,0,1
66,57,1,0,3,3,0,3,0,0,0,0,0,4,0.06060606060606061,1,0,2,4.253256680527763,0,0,0,0,0,0,4.456606429669495,8,20,0,0,1
45,14,23,0,2,1,0,5,0,0,0,0,0,0,0.0,1,0,1,2.8423709931771084,0,0,0,0,2,0,3.999954698334847,7,8,0,0,0
43,20,15,0,3,0,2,3,0,0,0,0,0,0,0.0,1,0,2,3.5464393446710156,0,0,0,0,1,0,4.22220806840402,8,9,0,0,0
40,31,1,0,2,2,0,3,0,0,0,0,0,6,0.15,1,0,1,4.17146526179041,0,0,0,0,0,0,4.325070520364182,6,10,0,0,1
71,11,52,0,1,1,0,4,0,0,0,0,0,8,0.11267605633802817,1,0,0,3.095795255000934,0,0,0,0,2,0,5.027933873142083,6,46,0,0,1
42,20,14,0,3,0,1,4,0,0,0,0,0,0,0.0,1,0,2,3.3464393446710154,0,0,0,0,2,0,4.059599126325496,8,9,0,0,0
41,22,11,0,3,0,0,3,0,0,0,0,0,3,0.07317073170731707,1,0,1,3.299896391167891,0,0,0,0,1,0,4.125129443325869,6,14,0,0,0
38,20,10,0,2,0,0,3,0,0,0,0,0,0,0.0,1,0,1,3.5464393446710156,0,0,0,0,1,0,4.293594289588575,5,12,0,0,0
107,20,79,0,4,7,1,5,0,0,0,0,0,18,0.16822429906542055,1,0,2,3.3464393446710154,0,0,0,0,3,0,4.785090819969794,17,11,0,0,0
45,15,22,0,3,0,0,4,0,0,0,0,0,0,0.0,1,0,1,3.1898980954642875,0,0,0,0,2,0,4.138656363227873,7,8,0,0,0
34,11,15,0,2,0,0,4,0,0,0,0,0,1,0.029411764705882353,1,0,1,2.6635327548042547,0,0,0,0,2,0,4.07674143017386,6,7,0,0,0
50,27,15,0,3,1,0,5,0,0,0,0,0,0,0.0,1,0,2,3.6339740759971573,0,0,0,0,2,0,3.8863701301561804,8,7,0,0,1
103,23,72,0,3,0,0,5,0,0,0,0,0,7,0.06796116504854369,1,0,2,3.795088586397732,0,0,0,0,3,0,4.775255844438958,8,59,0,0,1
36,28,1,0,2,1,0,3,0,0,0,0,0,4,0.1111111111111111,0,0,1,4.066108939837481,0,0,1,0,0,0,4.218128820706467,5,8,0,0,1
39,20,11,0,3,0,0,3,0,0,0,0,0,0,0.0,1,0,1,3.584183719779189,0,0,0,0,1,0,3.9872178475009488,6,12,0,0,0
175,15,108,43,2,3,3,7,0,2,3,1,2,18,0.10285714285714286,1,0,1,2.9735572622751856,1,1,0,0,5,0,5.4946916842088065,23,27,0,0,1
60,51,1,0,2,0,0,3,0,0,0,0,0,8,0.13333333333333333,1,0,1,4.569196665373644,0,0,0,0,0,0,4.683822629187616,4,41,0,0,1
92,19,65,0,2,8,0,5,0,0,0,0,0,5,0.05434782608695652,1,0,1,3.5766176449086657,0,0,0,0,2,0,4.600802684431132,14,11,0,0,0
67,25,34,0,3,0,1,4,0,0,0,0,0,0,0.0,1,0,2,3.5630741894285696,0,0,0,0,2,0,4.401910744392585,9,10,0,0,0
43,34,1,0,3,0,0,3,0,0,0,0,0,6,0.13953488372093023,1,0,2,4.17512313511346,0,0,0,0,0,0,4.332786847524101,5,12,0,0,1
62,43,11,0,3,1,0,3,0,0,0,0,0,19,0.3064516129032258,1,0,1,4.080350731889837,0,0,0,0,1,0,4.669539205681318,7,32,0,0,1
147,21,118,0,3,12,1,6,0,0,0,0,0,7,0.047619047619047616,1,0,1,3.463280517810811,1,1,0,0,4,0,4.647498229282843,22,13,0,0,0
41,10,8,14,1,0,0,3,0,0,1,1,0,7,0.17073170731707318,1,0,0,3.1219280948873624,0,0,0,0,1,0,4.802554748467755,6,10,0,0,1
81,15,58,0,2,8,0,6,0,0,0,0,0,6,0.07407407407407407,1,0,1,2.9735572622751856,0,0,0,0,3,0,4.503206102014152,15,8,0,0,0
41,21,12,0,3,0,0,3,0,0,0,0,0,1,0.024390243902439025,1,0,1,3.7489948035250964,0,0,0,0,1,0,4.387443772646929,6,13,0,0,0
31,22,1,0,2,1,0,3,0,0,0,0,0,0,0.0,1,0,1,3.3519530742463757,0,0,0,0,0,0,3.6922796820396573,5,7,0,0,0
46,15,23,0,2,1,1,4,0,0,0,0,0,0,0.0,1,0,1,3.323231428797621,0,0,0,0,2,0,4.25693885808983,8,8,0,0,0
53,19,26,0,3,0,0,5,0,0,0,0,0,0,0.0,1,0,1,3.3660913291191923,0,0,0,0,3,0,4.284458313732673,8,13,0,0,0
96,25,63,0,4,6,0,4,0,0,0,0,0,5,0.052083333333333336,1,0,2,3.6732696895151085,0,0,0,0,2,0,4.682001011852385,14,11,0,0,0
61,14,39,0,3,0,0,6,0,0,0,0,0,12,0.19672131147540983,1,0,1,2.8962915290459277,0,0,0,0,4,0,4.0202030181968915,9,13,0,0,0
25,11,6,0,1,0,0,3,0,0,0,0,0,0,0.0,1,0,0,3.095795255000934,0,0,0,0,1,0,3.893660689688186,4,8,0,0,1
99,19,72,0,1,1,0,5,0,0,0,0,0,11,0.1111111111111111,1,0,0,3.826874881864638,0,0,0,0,3,0,4.797293399197844,7,59,0,0,1
